,time,ctx,pollingcause,cacheage,matchlevel,carrierMktcarrier,office,OTA,Country,classes,England,ROW,US
1,01/01/2016 00:25,1,1,39,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
2,01/01/2016 00:29,1,1,4,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
3,01/01/2016 00:56,1,1,27,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
4,01/01/2016 01:37,1,1,41,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
5,01/01/2016 02:46,1,1,69,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
6,01/01/2016 06:08,1,1,202,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
7,01/01/2016 07:09,1,1,61,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
8,01/01/2016 07:21,1,1,12,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
9,01/01/2016 07:26,1,1,5,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
10,01/01/2016 07:41,1,1,15,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
11,01/01/2016 07:59,1,1,18,0,1,LON,IN38MT,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
12,01/01/2016 08:54,1,2,877,0,1,PHL,1S217L,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
13,01/01/2016 08:56,1,1,57,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
14,01/01/2016 09:51,1,1,55,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
15,01/01/2016 10:09,1,1,18,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
16,01/01/2016 10:39,1,1,30,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
17,01/01/2016 10:44,1,1,5,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
18,01/01/2016 10:52,1,1,8,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
19,01/01/2016 10:52,1,1,0,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20,01/01/2016 10:58,1,1,6,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
21,01/01/2016 11:06,1,1,8,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
22,01/01/2016 11:13,1,1,7,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
23,01/01/2016 11:32,1,1,19,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
24,01/01/2016 11:32,1,1,0,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
25,01/01/2016 11:43,1,1,999,0,1,PAR,EX37BA,ROW,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,1,0
26,01/01/2016 11:43,1,1,999,0,1,PAR,EX37BA,ROW,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,1,0
27,01/01/2016 11:43,1,1,999,0,1,PAR,EX37BA,ROW,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,1,0
28,01/01/2016 11:43,1,1,999,0,1,PAR,EX37BA,ROW,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,1,0
29,01/01/2016 11:47,1,1,15,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
30,01/01/2016 12:22,1,1,35,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
31,01/01/2016 13:04,1,1,42,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
32,01/01/2016 13:10,1,1,6,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
33,01/01/2016 13:16,1,1,6,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
